n_spectral,n_boundary,dofs,secs,mem_kb,cond,norm,recip,err
16,256,32,9,624748,3.075618e+00,5.277925e-01,4.889813e-01,9.551196e-01
32,256,64,9,609808,6.584804e+00,1.527300e+00,3.111216e-01,8.729245e-01
64,256,128,10,686968,3.971374e+01,4.592307e+00,1.568880e-01,6.868508e-01
128,256,256,9,760160,4.470413e+02,6.796408e+00,9.581894e-04,6.561539e-03
192,256,384,7,780372,4.904769e+04,6.815657e+00,1.717326e-04,3.548489e-03
256,256,512,7,910920,8.096766e+08,6.815643e+00,6.541422e-06,1.133443e-05
384,256,768,7,810392,1.296507e+09,6.815647e+00,9.105104e-07,6.036284e-06
512,256,1024,8,867844,1.727167e+09,6.815647e+00,6.867764e-07,6.338660e-06
768,256,1536,8,1061888,2.590486e+09,6.815647e+00,6.557310e-07,6.162534e-06
1024,256,2048,17,1151604,3.454995e+09,6.815647e+00,6.611032e-07,6.074309e-06
16,512,32,7,628004,3.076639e+00,5.284352e-01,4.882238e-01,9.550849e-01
32,512,64,6,616680,6.581588e+00,1.527759e+00,3.112182e-01,8.729129e-01
64,512,128,7,698080,3.977626e+01,4.591459e+00,1.568755e-01,6.867021e-01
128,512,256,7,764928,4.426598e+02,6.796081e+00,9.230457e-04,6.628833e-03
192,512,384,7,780808,4.118790e+04,6.815620e+00,1.080142e-04,3.657324e-03
256,512,512,7,778680,1.169498e+07,6.815646e+00,8.545431e-07,6.027288e-06
384,512,768,7,835452,2.508548e+09,6.815647e+00,9.184683e-09,3.504555e-07
512,512,1024,7,884352,3.446534e+09,6.815647e+00,7.245294e-09,2.631197e-07
768,512,1536,8,1071624,5.169244e+09,6.815647e+00,6.535843e-09,1.759212e-07
1024,512,2048,16,1146456,6.891864e+09,6.815647e+00,6.250574e-09,1.323552e-07
16,1024,32,8,631876,3.076771e+00,5.283710e-01,4.884125e-01,9.550814e-01
32,1024,64,6,628692,6.581122e+00,1.527710e+00,3.112015e-01,8.729197e-01
64,1024,128,7,693972,3.977701e+01,4.591453e+00,1.568744e-01,6.867011e-01
128,1024,256,7,775056,4.429332e+02,6.796077e+00,9.232474e-04,6.629665e-03
192,1024,384,8,793132,4.120849e+04,6.815620e+00,1.078395e-04,3.657253e-03
256,1024,512,8,810640,1.163890e+07,6.815646e+00,8.325399e-07,5.763598e-06
384,1024,768,8,963792,4.848793e+09,6.815647e+00,2.102158e-09,1.758572e-07
512,1024,1024,8,994628,6.891786e+09,6.815647e+00,1.308912e-09,1.322144e-07
768,1024,1536,9,1050684,1.033772e+10,6.815647e+00,1.081395e-09,8.869063e-08
1024,1024,2048,15,1153084,1.378320e+10,6.815647e+00,9.913209e-10,6.700273e-08
16,2048,32,7,642804,3.077016e+00,5.284176e-01,4.883700e-01,9.550803e-01
32,2048,64,6,637500,6.579684e+00,1.527721e+00,3.111974e-01,8.729205e-01
64,2048,128,8,722768,3.977553e+01,4.591452e+00,1.568743e-01,6.867007e-01
128,2048,256,7,803548,4.426442e+02,6.796077e+00,9.232274e-04,6.629713e-03
192,2048,384,7,958348,4.119275e+04,6.815620e+00,1.078434e-04,3.657249e-03
256,2048,512,7,965700,1.166354e+07,6.815646e+00,8.290938e-07,5.634031e-06
384,2048,768,8,950016,9.127875e+09,6.815647e+00,6.316334e-10,8.872823e-08
512,2048,1024,8,1004156,1.378213e+10,6.815647e+00,3.669933e-10,6.699900e-08
768,2048,1536,8,1063712,2.067237e+10,6.815647e+00,3.065299e-10,4.545124e-08
1024,2048,2048,16,1174804,2.756163e+10,6.815647e+00,2.785984e-10,3.481322e-08
16,4096,32,7,662520,3.077074e+00,5.284302e-01,4.883368e-01,9.550795e-01
32,4096,64,6,664540,6.579376e+00,1.527727e+00,3.112015e-01,8.729198e-01
64,4096,128,7,741852,3.977462e+01,4.591452e+00,1.568743e-01,6.867006e-01
128,4096,256,7,947964,4.425811e+02,6.796076e+00,9.231988e-04,6.629734e-03
192,4096,384,7,933840,4.118488e+04,6.815620e+00,1.078426e-04,3.657246e-03
256,4096,512,8,931712,1.167302e+07,6.815646e+00,8.285982e-07,5.569261e-06
384,4096,768,7,979396,1.634072e+10,6.815647e+00,2.243875e-10,4.548600e-08
512,4096,1024,8,1008248,2.756343e+10,6.815647e+00,1.280669e-10,3.481325e-08
768,4096,1536,9,1324408,4.134297e+10,6.815647e+00,9.923559e-11,2.442383e-08
1024,4096,2048,17,1647488,5.512148e+10,6.815647e+00,8.736924e-11,1.944827e-08
16,8192,32,7,718664,3.077070e+00,5.284283e-01,4.883399e-01,9.550793e-01
32,8192,64,6,710508,6.579391e+00,1.527726e+00,3.112022e-01,8.729199e-01
64,8192,128,8,893928,3.977458e+01,4.591452e+00,1.568744e-01,6.867008e-01
128,8192,256,8,965376,4.426033e+02,6.796077e+00,9.232029e-04,6.629729e-03
192,8192,384,8,1002128,4.118500e+04,6.815620e+00,1.078433e-04,3.657244e-03
256,8192,512,8,1034648,1.167834e+07,6.815646e+00,8.286198e-07,5.536905e-06
384,8192,768,8,1337028,2.701400e+10,6.815647e+00,1.147792e-10,2.445217e-08
512,8192,1024,9,1626204,5.512546e+10,6.815647e+00,5.288102e-11,1.944808e-08
768,8192,1536,9,2233380,8.268636e+10,6.815647e+00,3.871972e-11,1.481739e-08
1024,8192,2048,18,2848584,1.102473e+11,6.815647e+00,3.242856e-11,1.275046e-08
